experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,model_key,classifier_key,model_source,id_accuracy,id_macro_f1,has_raw_decision_scores,msp_confidence_threshold,id_mean_confidence,ood_mean_confidence,ood_p90_confidence,ood_high_conf_count,ood_high_conf_rate,score_seconds
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + MSP,MSP,default classifier settings,validation_best_f1,validation,Overall,2209,496,1713,0.9061387774701994,0.9697811156163597,0.4334677419354839,0.05489182472229004,0.9176604202157865,0.8933112216694307,0.9433741973146527,0.9433741973146527,0.38911290322580644,0.8687188773200544,0.777130647044423,303,193,97,1616,0.00024574995040893555,lr_msp,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.4735635817050934,0.8940969109535217,164,0.09573847051955633,
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + MSP,MSP,default classifier settings,validation_best_f1,validation,Near-OOD,1029,496,533,0.813230042970405,0.7979599229260126,0.5987903225806451,0.05489182472229004,0.776748104465038,0.7048929663608563,0.8649155722326454,0.8649155722326454,0.38911290322580644,0.7424684159378037,0.7379013345034194,303,193,72,461,0.00024574995040893555,lr_msp,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.6736434102058411,0.9661716818809509,115,0.21575984990619138,
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + MSP,MSP,default classifier settings,validation_best_f1,validation,Far-OOD,1676,496,1180,0.9481051804264626,0.9770204909172693,0.28830645161290325,0.05489182472229004,0.9137658227848101,0.8568249258160238,0.9788135593220338,0.9788135593220338,0.38911290322580644,0.869928400954654,0.7948503280481136,303,193,25,1155,0.00024574995040893555,lr_msp,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.38318851590156555,0.7682386636734009,49,0.04152542372881356,
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + MSP,MSP,default classifier settings,validation_best_f1,eval,Overall,8823,1984,6839,0.9010632729624686,0.9684565334020659,0.46118951612903225,0.05489182472229004,0.908817635270541,0.8900883218842002,0.9283520982599796,0.9283520982599796,0.3951612903225806,0.8556046696135101,0.7665954039686995,1200,784,490,6349,0.00024574995040893555,lr_msp,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8907675743103027,0.4816075265407562,0.9168469309806824,768,0.11229711946190964,0.006053000222891569
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + MSP,MSP,default classifier settings,validation_best_f1,eval,Near-OOD,4122,1984,2138,0.797724051532937,0.7816110862661547,0.6113911290322581,0.05489182472229004,0.7496790757381258,0.6908517350157729,0.8194574368568756,0.8194574368568756,0.3951612903225806,0.7161572052401747,0.7121480732671475,1200,784,386,1752,0.00024574995040893555,lr_msp,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8907675743103027,0.6943029165267944,0.9698792695999146,540,0.25257249766136575,0.006053000222891569
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + MSP,MSP,default classifier settings,validation_best_f1,eval,Far-OOD,6685,1984,4701,0.9480616255292285,0.9773445885099767,0.29788306451612906,0.05489182472229004,0.9119222376512597,0.8543021743170415,0.9778770474367156,0.9778770474367156,0.3951612903225806,0.8671652954375467,0.7913578785570674,1200,784,104,4597,0.00024574995040893555,lr_msp,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8907675743103027,0.3848743140697479,0.7724338173866272,228,0.048500319081046586,0.006053000222891569
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Entropy,Entropy,default classifier settings,validation_best_f1,validation,Overall,2209,496,1713,0.9216663841967497,0.9764485145193283,0.43548387096774194,0.28842297196388245,0.9186738452819495,0.8926211453744494,0.9462930531231757,0.9462930531231757,0.39314516129032256,0.870076957899502,0.7765739459164265,301,195,92,1621,0.0001638331450521946,lr_entropy,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.4735635817050934,0.8940969109535217,164,0.09573847051955633,
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Entropy,Entropy,default classifier settings,validation_best_f1,validation,Near-OOD,1029,496,533,0.8180150396417115,0.8059384841899206,0.592741935483871,0.28842297196388245,0.7733782645324347,0.7018348623853211,0.8611632270168855,0.8611632270168855,0.39314516129032256,0.738581146744412,0.7340090328632815,301,195,74,459,0.0001638331450521946,lr_entropy,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.6736434102058411,0.9661716818809509,115,0.21575984990619138,
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Entropy,Entropy,default classifier settings,validation_best_f1,validation,Far-OOD,1676,496,1180,0.9684851694915255,0.9872167454308748,0.22580645161290322,0.28842297196388245,0.916042569964525,0.8563006632277081,0.9847457627118644,0.9847457627118644,0.39314516129032256,0.8729116945107399,0.7958003007107709,301,195,18,1162,0.0001638331450521946,lr_entropy,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.38318851590156555,0.7682386636734009,49,0.04152542372881356,
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Entropy,Entropy,default classifier settings,validation_best_f1,eval,Overall,8823,1984,6839,0.9179701687192525,0.9755011667073725,0.45161290322580644,0.28842297196388245,0.910180495113077,0.8886876567288938,0.9327387044889603,0.9327387044889603,0.4027217741935484,0.8573047716196305,0.765008465147706,1185,799,460,6379,0.0001638331450521946,lr_entropy,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8907675743103027,0.4816075265407562,0.9168469309806824,768,0.11229711946190964,0.009016333147883415
