model,id_accuracy,id_macro_f1,best_score,best_auroc,best_aupr,best_fpr95,best_f1,best_precision,best_recall,best_fpr,best_accuracy,near_auroc_for_best_score,far_auroc_for_best_score
QDA,0.9125,0.9125631203614376,MaxLogit,0.9542721095235221,0.9862484909262715,0.2754032258064516,0.937786583639966,0.9089213211895095,0.9685453695042096,0.3346774193548387,0.9003807106598984,0.8602855037982633,0.9969584254378507
LOF baseline,,,negative_score_samples,0.9360724901173842,0.9795476087949104,0.34274193548387094,0.9278129236330773,0.8973994755244755,0.9603601496725912,0.3786290322580645,0.8841551849166063,0.8137122438134805,0.9916453889233234
LR,0.9137096774193548,0.9139216536937969,Energy,0.934024252014243,0.9808484417254335,0.37943548387096776,0.922713200112581,0.8896125040703354,0.9583723105706268,0.41008064516129034,0.8755438723712835,0.8092012022801658,0.9907156932384771
LDA,0.9008064516129032,0.9010289105232726,Energy,0.909308801563113,0.9742386916751566,0.5532258064516129,0.9005124777183601,0.8598936170212766,0.9451590271281571,0.5310483870967742,0.8381073241479333,0.8131246905230614,0.9529931682674111
MLP,0.9181451612903225,0.91809492232391,Entropy,0.8711622352062525,0.9551672160075082,0.5423387096774194,0.9036492220650636,0.8753699440973364,0.9338166510757717,0.4584677419354839,0.8456308919506889,0.760813577130711,0.9212797774133212
GNB,0.8814516129032258,0.8810780675140442,Entropy,0.8376211752014243,0.9276483661505318,0.5278225806451613,0.9040648575610855,0.8717698154180239,0.938844714686623,0.4762096774193548,0.845540246555475,0.7677653349597228,0.8693479137298352
IsolationForest baseline,,,negative_decision_function,0.7990223943088205,0.9271155436154022,0.692741935483871,0.8846462377667255,0.8151177687986597,0.9671421889616464,0.7564516129032258,0.8044778825235678,0.6213297544715644,0.8797258530752395
