experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,score_seconds,model_key,model_source,near_ood_percent,near_ood_ratio,near_ood_count,far_ood_count,ood_total,sampling_seed
experiment3_near_ood_ratio,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-000pct,4122,1984,2138,0.993507225248197,0.9928239634998896,0.03578629032258065,0.05807536840438843,0.8605353189776616,0.755210173083716,1.0,1.0,0.3492943548387097,0.8318777292576419,0.8253528225806452,1291,693,0,2138,0.003981708083301783,0.006650333758443594,centroid,loaded,0,0.0,0,2138,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-010pct,4122,1984,2138,0.9750166910588732,0.979458928619853,0.13407258064516128,0.05807536840438843,0.8517542080713851,0.7518796992481203,0.9822263797942001,0.9822263797942001,0.3492943548387097,0.8226589034449296,0.8164660124777452,1291,693,38,2100,0.003981708083301783,0.006650333758443594,centroid,loaded,10,0.1,214,1924,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-020pct,4122,1984,2138,0.9603035698120038,0.9675240676807393,0.22631048387096775,0.05807536840438843,0.8461381699612798,0.7497291440953413,0.971000935453695,0.971000935453695,0.3492943548387097,0.816836487142164,0.8108532903074928,1291,693,62,2076,0.003981708083301783,0.006650333758443594,centroid,loaded,20,0.2,428,1710,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-030pct,4122,1984,2138,0.9450123909894687,0.954641930282329,0.3089717741935484,0.05807536840438843,0.8397540983606557,0.7472647702407003,0.9583723105706268,0.9583723105706268,0.3492943548387097,0.8102862688015526,0.8045389778659586,1291,693,89,2049,0.003981708083301783,0.006650333758443594,centroid,loaded,30,0.3,641,1497,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-040pct,4122,1984,2138,0.9276067756269049,0.9392875531736306,0.3850806451612903,0.05807536840438843,0.8313725490196079,0.7439970446989287,0.9420018709073901,0.9420018709073901,0.3492943548387097,0.8017952450266861,0.7963537580343403,1291,693,124,2014,0.003981708083301783,0.006650333758443594,centroid,loaded,40,0.4,855,1283,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-050pct,4122,1984,2138,0.9137461242795497,0.9256740693950247,0.45161290322580644,0.05807536840438843,0.8255548641360714,0.7417070443533358,0.930776426566885,0.930776426566885,0.3492943548387097,0.7959728287239204,0.7907410358640876,1291,693,148,1990,0.003981708083301783,0.006650333758443594,centroid,loaded,50,0.5,1069,1069,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-060pct,4122,1984,2138,0.8986055893358278,0.9100634731214777,0.49848790322580644,0.05807536840438843,0.8174603174603174,0.7384905660377359,0.9153414405986904,0.9153414405986904,0.3492943548387097,0.7879670063076176,0.7830235428799903,1291,693,181,1957,0.003981708083301783,0.006650333758443594,centroid,loaded,60,0.6,1283,855,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-070pct,4122,1984,2138,0.883344586438939,0.8928044804048184,0.5332661290322581,0.05807536840438843,0.8100042034468264,0.7354961832061069,0.901309635173059,0.901309635173059,0.3492943548387097,0.7806889859291606,0.7760076401671747,1291,693,211,1927,0.003981708083301783,0.006650333758443594,centroid,loaded,70,0.7,1497,641,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-080pct,4122,1984,2138,0.8682280979359667,0.8736705351064641,0.5498991935483871,0.05807536840438843,0.8022001269303999,0.7323290845886443,0.8868101028999065,0.8868101028999065,0.3492943548387097,0.7731683648714216,0.7687578740305985,1291,693,242,1896,0.003981708083301783,0.006650333758443594,centroid,loaded,80,0.8,1710,428,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-090pct,4122,1984,2138,0.8536142271945442,0.8519012982342106,0.5730846774193549,0.05807536840438843,0.7945497125824995,0.7291910902696366,0.872778297474275,0.872778297474275,0.3492943548387097,0.7658903444929646,0.7617419713177827,1291,693,272,1866,0.003981708083301783,0.006650333758443594,centroid,loaded,90,0.9,1924,214,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-100pct,4122,1984,2138,0.837538002806361,0.8200723861522676,0.5877016129032258,0.05807536840438843,0.7857602401887197,0.7255445544554455,0.8568755846585594,0.8568755846585594,0.3492943548387097,0.75764192139738,0.7537906149099249,1291,693,306,1832,0.003981708083301783,0.006650333758443594,centroid,loaded,100,1.0,2138,0,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,eval,Near-OOD-ratio-000pct,4122,1984,2138,0.995876742659706,0.9959779904104127,0.02066532258064516,-0.03915564715862274,0.898422712933754,0.8162017577378677,0.9990645463049579,0.9990645463049579,0.24243951612903225,0.8828238719068413,0.8783125150879628,1503,481,2,2136,0.0023506670258939266,0.003263582941144705,radius,loaded,0,0.0,0,2138,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,eval,Near-OOD-ratio-010pct,4122,1984,2138,0.9689463792661215,0.9780743278815468,0.19556451612903225,-0.03915564715862274,0.8766888269354493,0.8095049504950496,0.9560336763330215,0.9560336763330215,0.24243951612903225,0.8605046094129064,0.8567970801019946,1503,481,94,2044,0.0023506670258939266,0.003263582941144705,radius,loaded,10,0.1,214,1924,2138,77
