experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,model_key,validation_selection_metric,validation_selection_group,validation_selected_model_key,validation_selected_hyperparameters,validation_selected_score,validation_selection_rank,is_validation_selected,score_seconds
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,validation_id95,eval,Far-OOD,6685,1984,4701,0.9954935163074432,0.9980042898925117,0.02066532258064516,0.09347794204950333,0.9809635222801234,0.980859208847299,0.9810678579025739,0.9810678579025739,0.04536290322580645,0.9732236350037398,0.9678524773383836,1894,90,89,4612,0.013329125009477139,radius_p90_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_id95,radius_p90_0,radius_percentile=90.0,0.855072463768116,1,True,0.0069194999523460865
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,validation_best_f1,validation,Overall,2209,496,1713,0.9158380882436021,0.9764040370287651,0.6310483870967742,-0.03915564715862274,0.9078986587183309,0.9275274056029232,0.8890834792761237,0.8890834792761237,0.2399193548387097,0.8601177003168855,0.824582062218707,377,119,190,1523,0.013329125009477139,radius_p90_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_best_f1,radius_p90_0,radius_percentile=90.0,0.9078986587183309,1,True,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,validation_best_f1,validation,Near-OOD,1029,496,533,0.7452603946014645,0.7603901127464552,0.780241935483871,-0.03915564715862274,0.6946946946946947,0.7446351931330472,0.651031894934334,0.651031894934334,0.2399193548387097,0.7035957240038873,0.7055562700478122,377,119,186,347,0.013329125009477139,radius_p90_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_best_f1,radius_p90_0,radius_percentile=90.0,0.9078986587183309,1,True,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,validation_best_f1,validation,Far-OOD,1676,496,1180,0.9928871651175505,0.9967377954447305,0.020161290322580645,-0.03915564715862274,0.9503030303030303,0.9081081081081082,0.9966101694915255,0.9966101694915255,0.2399193548387097,0.9266109785202864,0.8783454073264079,377,119,4,1176,0.013329125009477139,radius_p90_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_best_f1,radius_p90_0,radius_percentile=90.0,0.9078986587183309,1,True,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,validation_best_f1,eval,Overall,8823,1984,6839,0.9135499554264206,0.9760619131636692,0.6134072580645161,-0.03915564715862274,0.9002403846153846,0.9256913332303415,0.8761514841351075,0.8761514841351075,0.24243951612903225,0.8494843023914769,0.8168559840030376,1503,481,847,5992,0.013329125009477139,radius_p90_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_best_f1,radius_p90_0,radius_percentile=90.0,0.9078986587183309,1,True,0.0069194999523460865
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,validation_best_f1,eval,Near-OOD,4122,1984,2138,0.7333737722170253,0.7527781497124871,0.8160282258064516,-0.03915564715862274,0.6624106230847804,0.7294713160854893,0.6066417212347989,0.6066417212347989,0.24243951612903225,0.6792819019893256,0.6821011025528834,1503,481,841,1297,0.013329125009477139,radius_p90_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_best_f1,radius_p90_0,radius_percentile=90.0,0.9078986587183309,1,True,0.0069194999523460865
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,validation_best_f1,eval,Far-OOD,6685,1984,4701,0.9954935163074432,0.9980042898925117,0.02066532258064516,-0.03915564715862274,0.9506935304242179,0.9070710973724884,0.9987236758136566,0.9987236758136566,0.24243951612903225,0.9271503365744204,0.8781420798423122,1503,481,6,4695,0.013329125009477139,radius_p90_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_best_f1,radius_p90_0,radius_percentile=90.0,0.9078986587183309,1,True,0.0069194999523460865
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,train_id95,validation,Overall,2209,496,1713,0.8842049884187333,0.9683836977474523,0.717741935483871,-0.008889508433640003,0.8614086335605323,0.9700292397660819,0.7746643315820199,0.7746643315820199,0.08266129032258064,0.8066998641919421,0.8460015206297196,455,41,386,1327,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | train_id95,radius_p90_0,radius_percentile=90.0,0.8805874840357599,2,False,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,train_id95,validation,Near-OOD,1029,496,533,0.645622768262422,0.6951450468512042,0.9637096774193549,-0.008889508433640003,0.4444444444444444,0.8,0.3076923076923077,0.3076923076923077,0.08266129032258064,0.6015549076773566,0.6125155086848635,455,41,369,164,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | train_id95,radius_p90_0,radius_percentile=90.0,0.8805874840357599,2,False,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,train_id95,validation,Far-OOD,1676,496,1180,0.9919713641334063,0.9963108953441613,0.028225806451612902,-0.008889508433640003,0.9756711409395973,0.9659468438538206,0.985593220338983,0.985593220338983,0.08266129032258064,0.9653937947494033,0.9514659650082011,455,41,17,1163,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | train_id95,radius_p90_0,radius_percentile=90.0,0.8805874840357599,2,False,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,train_id95,eval,Overall,8823,1984,6839,0.8825818567843818,0.9679950734055662,0.7258064516129032,-0.008889508433640003,0.8612221587664192,0.9741602067183462,0.7717502558853634,0.7717502558853634,0.07056451612903226,0.8072084325059503,0.8505928698781655,1844,140,1561,5278,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | train_id95,radius_p90_0,radius_percentile=90.0,0.8805874840357599,2,False,0.0027024587616324425
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,train_id95,eval,Near-OOD,4122,1984,2138,0.6387425408883793,0.6883174589463503,0.9546370967741935,-0.008889508433640003,0.4365133836650652,0.8195876288659794,0.29747427502338636,0.29747427502338636,0.07056451612903226,0.6016496846191169,0.613454879447177,1844,140,1502,636,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | train_id95,radius_p90_0,radius_percentile=90.0,0.8805874840357599,2,False,0.0027024587616324425
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,train_id95,eval,Far-OOD,6685,1984,4701,0.9934792099827765,0.9971285509918617,0.025201612903225805,-0.008889508433640003,0.9790150796161552,0.9707235466332078,0.9874494788342906,0.9874494788342906,0.07056451612903226,0.9702318623784593,0.9584424813526291,1844,140,59,4642,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | train_id95,radius_p90_0,radius_percentile=90.0,0.8805874840357599,2,False,0.0027024587616324425
