experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,model_source,model_key,score_seconds
experiment1_overall_comparison,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,validation,Far-OOD,1676,496,1180,0.9930204346637507,0.9967254493104227,0.04032258064516129,3.3272268772125244,0.9339137316976652,0.8760207869339273,1.0,1.0,0.33669354838709675,0.9003579952267303,0.8316532258064516,329,167,0,1180,0.0017162919975817204,loaded,class_mahalanobis,
experiment1_overall_comparison,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Overall,8823,1984,6839,0.9450601153724605,0.9836981520957574,0.32560483870967744,3.3272268772125244,0.9291461938332265,0.9056079955580233,0.9539406345957011,0.9539406345957011,0.34274193548387094,0.887226566927349,0.8055993495559151,1304,680,315,6524,0.0017162919975817204,loaded,class_mahalanobis,0.1490497076883912
experiment1_overall_comparison,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Near-OOD,4122,1984,2138,0.8371273273182656,0.820510689620001,0.5957661290322581,3.3272268772125244,0.7856065503124326,0.7283260087894526,0.85266604303087,0.85266604303087,0.34274193548387094,0.7586123241145075,0.7549620537734996,1304,680,315,1823,0.0017162919975817204,loaded,class_mahalanobis,0.1490497076883912
experiment1_overall_comparison,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Far-OOD,6685,1984,4701,0.9941476075783465,0.9971938833894314,0.03024193548387097,3.3272268772125244,0.9325530648680818,0.873629436907638,1.0,1.0,0.34274193548387094,0.8982797307404637,0.8286290322580645,1304,680,0,4701,0.0017162919975817204,loaded,class_mahalanobis,0.1490497076883912
experiment1_overall_comparison,Distance/support/density,kNN distance,mean_knn_distance,"k=1, distance=cosine, threshold_percentile=95",validation_best_f1,validation,Overall,2209,496,1713,0.9552332259947648,0.9868484498141048,0.2560483870967742,0.03517472743988037,0.9396128286622364,0.9302059496567505,0.9492119089316988,0.9492119089316988,0.24596774193548387,0.9053870529651425,0.8516220834981074,374,122,87,1626,0.03384604211896658,loaded,knn,
experiment1_overall_comparison,Distance/support/density,kNN distance,mean_knn_distance,"k=1, distance=cosine, threshold_percentile=95",validation_best_f1,validation,Near-OOD,1029,496,533,0.8618592265327119,0.8438020768296084,0.4717741935483871,0.03517472743988037,0.810172570390554,0.7852112676056338,0.8367729831144465,0.8367729831144465,0.24596774193548387,0.7968901846452867,0.7954026205894813,374,122,87,446,0.03384604211896658,loaded,knn,
experiment1_overall_comparison,Distance/support/density,kNN distance,mean_knn_distance,"k=1, distance=cosine, threshold_percentile=95",validation_best_f1,validation,Far-OOD,1676,496,1180,0.997409786768726,0.9988705342022827,0.018145161290322582,0.03517472743988037,0.9508460918614021,0.9062980030721967,1.0,1.0,0.24596774193548387,0.9272076372315036,0.877016129032258,374,122,0,1180,0.03384604211896658,loaded,knn,
experiment1_overall_comparison,Distance/support/density,kNN distance,mean_knn_distance,"k=1, distance=cosine, threshold_percentile=95",validation_best_f1,eval,Overall,8823,1984,6839,0.9521304225292322,0.9857618520592855,0.2782258064516129,0.03517472743988037,0.9361948955916474,0.9285200632820365,0.9439976604766779,0.9439976604766779,0.2505040322580645,0.9002606823076051,0.8467468141093066,1487,497,383,6456,0.03384604211896658,loaded,knn,0.5955913751386106
experiment1_overall_comparison,Distance/support/density,kNN distance,mean_knn_distance,"k=1, distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD,4122,1984,2138,0.8537460111198285,0.8288112166342576,0.4788306451612903,0.03517472743988037,0.7995444191343963,0.7793072824156305,0.8208606173994387,0.8208606173994387,0.2505040322580645,0.7865114022319263,0.7851782925706872,1487,497,383,1755,0.03384604211896658,loaded,knn,0.5955913751386106
experiment1_overall_comparison,Distance/support/density,kNN distance,mean_knn_distance,"k=1, distance=cosine, threshold_percentile=95",validation_best_f1,eval,Far-OOD,6685,1984,4701,0.9968753430978996,0.998528238184063,0.015625,0.03517472743988037,0.9497929083745833,0.9043863024240092,1.0,1.0,0.2505040322580645,0.9256544502617801,0.8747479838709677,1487,497,0,4701,0.03384604211896658,loaded,knn,0.5955913751386106
