model,accuracy,macro_f1
LR,0.9137096774193548,0.9139216536937969
MLP,0.9181451612903225,0.91809492232391
GNB,0.8814516129032258,0.8810780675140442
LDA,0.9008064516129032,0.9010289105232726
QDA,0.9125,0.9125631203614376
