split,method,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
Near-OOD,knn_distance,0.8692043272424246,0.8455674313110794,0.4241935483870968,0.015616059303283691,0.817641228939544,0.7315991723322495,0.9266192437289404,0.9266192437289404,0.36612903225806454,0.7856726849155504,0.780245105735438,0.5604902114708759,1572,908,196,2475
Near-OOD,global_mahalanobis,0.7974253028345069,0.7812065272676316,0.6459677419354839,17.944599151611328,0.761017794777981,0.6846199880311191,0.8566080119805316,0.8566080119805316,0.425,0.7210250436808386,0.7158040059902657,0.4316080119805316,1426,1054,383,2288
Near-OOD,gaussian_mixture,0.8739021871716526,0.8484187720645439,0.3875,-1484.4461669921875,0.828605002518046,0.751065124771759,0.9239985024335455,0.9239985024335455,0.32983870967741935,0.801786060959037,0.7970798963780631,0.5941597927561262,1662,818,203,2468
Near-OOD,one_class_svm,0.860814030023792,0.8421781586223276,0.4883064516129032,0.4357701241970062,0.8142153413089374,0.7680053103219383,0.8663421939348559,0.8663421939348559,0.2818548387096774,0.7949912638322656,0.7922436776125892,0.5844873552251785,1781,699,357,2314
Near-OOD,pca_reconstruction,0.8265128893370854,0.800233790845394,0.5387096774193548,7.4488730206212495e-06,0.7895176097479553,0.7123493975903614,0.8854361662298764,0.8854361662298764,0.3850806451612903,0.7551931663754611,0.750177760534293,0.5003555210685862,1525,955,306,2365
Near-OOD,isolation_forest,0.6213297544715644,0.6284567570977677,0.8451612903225807,-0.03732183784598703,0.6966726494546459,0.5518372703412073,0.9445900411830775,0.9445900411830775,0.8262096774193548,0.5734808774995147,0.5591901818818613,0.11838036376372274,431,2049,148,2523
Near-OOD,lof,0.8137122438134805,0.781843869197189,0.5419354838709678,1.1265690326690674,0.7857497928748964,0.7048156956004756,0.8876825159116436,0.8876825159116436,0.4004032258064516,0.7489807804309843,0.7436396450525959,0.487279290105192,1487,993,300,2371
Near-OOD,lr_msp,0.8007659176821535,0.7845565594821376,0.6100806451612903,0.02694714069366455,0.7612542688606023,0.6502254044020154,0.9180082366154998,0.9180082366154998,0.5318548387096774,0.7014172005435838,0.6930766989529111,0.38615339790582237,1161,1319,219,2452
Near-OOD,lr_entropy,0.8079873733409016,0.799525023091936,0.6116935483870968,0.2028542459011078,0.7602488435157122,0.6623123957754308,0.8921752152751778,0.8921752152751778,0.4899193548387097,0.7082119976703553,0.701127930218234,0.40225586043646816,1265,1215,288,2383
Near-OOD,lr_margin,0.7960567354259007,0.7690068329801674,0.6,0.04043412208557129,0.763161981674173,0.6520700636942676,0.9198801946836391,0.9198801946836391,0.5286290322580646,0.7039409823335274,0.6956255812127873,0.39125116242557456,1169,1311,214,2457
Near-OOD,lr_maxlogit,0.8129633096218645,0.808078540728005,0.6544354838709677,-9.850909233093262,0.7747660535656663,0.6807485114828467,0.8989142643204793,0.8989142643204793,0.45403225806451614,0.7289846631721996,0.7224410031279815,0.44488200625596314,1354,1126,270,2401
