model,score,threshold_source,id_percentile,threshold,accuracy,balanced_acc,f1,precision,recall_tpr,fpr,specificity,youden_j,tn,fp,fn,tp
MLP,Entropy,id_percentile,60,0.0005726618110202253,0.8420050761421319,0.7560921421889617,0.8995099452291727,0.8871829864665074,0.9121842843779233,0.4,0.6,0.5121842843779233,1488,992,751,7801
MLP,Entropy,id_percentile,70,0.002207851503044367,0.836022480058013,0.7877338634237605,0.8922123577429542,0.9096100109342729,0.875467726847521,0.3,0.7,0.575467726847521,1736,744,1065,7487
MLP,Entropy,id_percentile,80,0.014948633499443531,0.7929659173313995,0.7954630495790458,0.8555527447508222,0.9316804407713498,0.7909260991580916,0.2,0.8,0.5909260991580916,1984,496,1788,6764
MLP,Entropy,id_percentile,85,0.03965399041771889,0.7553480783176215,0.7889499532273152,0.8218364248465245,0.9436107321509777,0.7278999064546305,0.15,0.85,0.5778999064546305,2108,372,2327,6225
MLP,Entropy,id_percentile,90,0.10724179446697235,0.6971537345902828,0.7691651075771749,0.7656918437478084,0.9565445943578063,0.6383302151543498,0.1,0.9,0.5383302151543499,2232,248,3093,5459
MLP,Entropy,id_percentile,92.5,0.21477967500686646,0.6401377810007252,0.7412652011225445,0.706056567451503,0.9624545821558337,0.5575304022450889,0.075,0.925,0.48253040224508886,2294,186,3784,4768
MLP,Entropy,id_percentile,95,0.37296897172927856,0.5761421319796954,0.7088634237605238,0.6311139160618492,0.9699321047526673,0.4677268475210477,0.05,0.95,0.4177268475210477,2356,124,4552,4000
MLP,Entropy,id_percentile,97.5,0.6581228971481323,0.4757070340826686,0.6529583723105706,0.49458231387626705,0.9785615491009682,0.33091674462114123,0.025,0.975,0.3059167446211412,2418,62,5722,2830
MLP,Entropy,id_percentile,99,0.815784752368927,0.41116751269035534,0.6166271236307673,0.3905047851379246,0.9881291547958214,0.24333489242282508,0.010080645161290322,0.9899193548387096,0.23325424726153476,2455,25,6471,2081
MLP,Margin,id_percentile,50,1.755356788635254e-05,0.8430021754894851,0.7212347988774556,0.902980058256778,0.8666666666666667,0.9424695977549111,0.5,0.5,0.4424695977549111,1240,1240,492,8060
