method,split,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,tn,fp,fn,tp
isolation_forest,Overall,0.7990223943088205,0.9271155436154022,0.692741935483871,-0.03485098176292656,0.8846462377667255,0.8151177687986597,0.9671421889616464,0.9671421889616464,0.7564516129032258,0.8044778825235678,604,1876,281,8271
isolation_forest,Near-OOD,0.6213297544715644,0.6284567570977677,0.8451612903225807,-0.03732183784598703,0.6966726494546459,0.5518372703412073,0.9445900411830775,0.9445900411830775,0.8262096774193548,0.5734808774995147,431,2049,148,2523
isolation_forest,Far-OOD,0.8797258530752395,0.9361597180200292,0.43306451612903224,-0.02673934483617657,0.8913112667091024,0.8375953342305967,0.9523890494813807,0.9523890494813807,0.43790322580645163,0.8366224135868915,1394,1086,280,5601
lof,Overall,0.9360724901173842,0.9795476087949104,0.34274193548387094,1.1418097019195557,0.9278129236330773,0.8973994755244755,0.9603601496725912,0.9603601496725912,0.3786290322580645,0.8841551849166063,1541,939,339,8213
lof,Near-OOD,0.8137122438134805,0.781843869197189,0.5419354838709678,1.1265690326690674,0.7857497928748964,0.7048156956004756,0.8876825159116436,0.8876825159116436,0.4004032258064516,0.7489807804309843,1487,993,300,2371
lof,Far-OOD,0.9916453889233234,0.9945586485667371,0.02943548387096774,1.7730624675750732,0.9802464967077494,0.9733445096395641,0.9872470668253699,0.9872470668253699,0.06411290322580646,0.9720129171151776,2321,159,75,5806
